Postal_Code,Building_Name,Location_Description,latitude,longitude
579795,Kuo Chuan Presbyterian Secondary School,Level 3 Inside Indoor Sports Hall (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.2835223935476998,103.81334480837818
569933,AMK Hub,"Level 1 Outside Washroom, Opposite Subway (#01-35)",1.2542373787386358,103.78613554737005
569933,AMK Hub,"Level 2 Outside Washroom, Opposite Xin Wang Hong Kong Café (#02-26)",1.2542373787386358,103.78613554737005
569933,AMK Hub,Level B2 Lift Lobby B,1.2542373787386358,103.78613554737005
569830,Blk A,"Level 1 Outside Male Toilet, Near Auditorium",1.230605714055628,103.95966885146127
569832,Blk C,Level 1 SBM Admin Office Counter,1.3223194405053373,103.77528827141093
569815,Blk G,Level 2 ISH Entrance,1.2349793876038142,103.63658039681376
569815,Blk G,Level 3 Facing North Tennis Court,1.2349793876038142,103.63658039681376
567725,Blk T,Level 2 Student Gym,1.3918928375826516,103.91762031862903
569816,Blk F,Level 2 Swimming Pool Staff Locker Area,1.434133936113621,103.67783697978693
569816,Blk F,Level 3 NYP Stadium,1.434133936113621,103.67783697978693
569818,Blk J,Level 3 Outside SHS Admin Office,1.4229847346546638,103.7248538484508
569830,,Level 1 South Tennis Court,1.230605714055628,103.95966885146127
569824,Staff Apartment Blk 168,Level 1 Lift Lobby,1.2253430954371078,103.63088380686834
569821,Blk M,Level 5 Near Admin Office,1.3709211731486117,103.93181391220968
569820,Blk L,Level 3 Near Admin Office,1.2982148641163629,103.87368100069922
569826,Blk P,Level 4 Opposite SCL Admin Office,1.4250589136970384,103.85341867129709
569828,Blk R,Level 6 Near SDN Admin Office,1.3727717861048208,103.82887994585003
569829,Blk S,Level 1 Outside SEG Admin Offices,1.360843598337233,103.98720787669937
569405,CHIJ St Nicholas Girls' School,Level 1 Opposite MPH (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.4121533994779676,103.98046700335259
569405,CHIJ St Nicholas Girls' School,"Level 2 Near General Office, Secondary (Available During School Operating Hours. Approach Security Officer At Main Gate.)",1.4121533994779676,103.98046700335259
569405,CHIJ St Nicholas Girls' School,"Level 2 MPH Blk, Between Hall & Gym (Available During School Operating Hours. Approach Security Officer At Main Gate.)",1.4121533994779676,103.98046700335259
569405,CHIJ St Nicholas Girls' School,"Level 5 MPH Blk, Between Pri & Sec ISH (Available During School Operating Hours. Approach Security Officer At Main Gate.)",1.4121533994779676,103.98046700335259
569405,CHIJ St Nicholas Girls' School,Level 1 Outside PE Room (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.4121533994779676,103.98046700335259
579785,Guide House,Level 1 Recreation Area,1.4651512352879907,103.94757064565188
579782,MOE Language Centre (Bishan),"Level 1 Lobby, Outside Office",1.3597406489944308,103.92754069895948
575738,Marymount Community Club,Level 1 Outside Constituency Office,1.3248004102170885,103.89046586119056
575738,Marymount Community Club,Level 3 Outside Lift Lobby,1.3248004102170885,103.89046586119056
574623,Mount Alvernia Hospital,Level 6 Orchard Heart Specialist Clinic,1.272983617578785,103.70926116738516
576151,One Pemimpin,"Level 6 Corndale Consultants Pte Ltd, Near Main Entrance",1.4180231627940318,103.78995836431471
575566,Peirce Secondary School,"Level 1 Blk A, Outside General Office (Available During School Operating Hours. Approach Security Officer At Main Gate.)",1.3235962316763112,103.67936177696333
575566,Peirce Secondary School,Level 1 Blk E Canteen (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.3235962316763112,103.67936177696333
575566,Peirce Secondary School,Level 1 Blk F Indoor Sports Hall (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.3235962316763112,103.67936177696333
575566,Peirce Secondary School,Level 1 School Field Toilet (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.3235962316763112,103.67936177696333
560529,529 Cheng San Centre,"Level 1 Immanuel Dialysis Centre, AMK (Approach Staff)",1.363721975726477,103.94442869604433
569228,Jing Shan Primary School,Level 1 Outside General Office (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.2956630311461597,103.93844913310214
569228,Jing Shan Primary School,Level 2 School Hall (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.2956630311461597,103.93844913310214
569228,Jing Shan Primary School,Level 1 Block C (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.2956630311461597,103.93844913310214
569206,Anderson Secondary School,Level 1 General Office (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.369539522267088,103.76688821612049
569206,Anderson Secondary school,Level 1 School Field (Available During Dual Use Scheme Operating Hours),1.369539522267088,103.76688821612049
569206,Anderson Secondary School,Level 1 Canteen (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.369539522267088,103.76688821612049
569206,Anderson Secondary School,Level 1 Indoor Sports Hall (Available During Dual Use Scheme Operating Hours),1.369539522267088,103.76688821612049
119074,National University Hospital (Kent Ridge Wing 2),"Level 3 Kent Ridge Wing, Lift Lobby 8",1.3096973900234277,103.67803065587002
569206,Anderson Secondary School,Level 2 Indoor Sports Hall (Available During Dual Use Scheme Operating Hours),1.369539522267088,103.76688821612049
297754,Marymount Convent School,"Level 2 Blk A, Outside General Office (Available During School Operating Hours. Approach Security Officer At Main Gate.)",1.3773083100800707,103.68327499747087
297754,Marymount Convent School,"Level 1 Blk D, Beside Playground (Available During School Operating Hours. Approach Security Officer At Main Gate.)",1.3773083100800707,103.68327499747087
297754,Marymount Convent School,"Level 6 Blk G, Outside ISH (Available During School Operating Hours. Approach Security Officer At Main Gate.)",1.3773083100800707,103.68327499747087
297754,Marymount Convent School,"Level 3 Blk G, Outside Gymnasium (Available During School Operating Hours. Approach Security Officer At Main Gate.)",1.3773083100800707,103.68327499747087
569277,Deyi Secondary School,Level 1 Outside General Office (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.3265948883875909,103.94255123664267
569277,Deyi Secondary School,Level 1 Near Fitness Corner (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.3265948883875909,103.94255123664267
569277,Deyi Secondary School,Level 2 Outside Multi-Purpose Hall (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.3265948883875909,103.94255123664267
569277,Deyi Secondary School,Level 1 Toilet Hut Outside Indoor Sports Hall (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.3265948883875909,103.94255123664267
569299,Teck Ghee Primary School,Level 1 General Office (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.2336930583928964,103.60595745437632
569299,Teck Ghee Primary School,Level 2 Multipurpose Hall (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.2336930583928964,103.60595745437632
569299,Teck Ghee Primary School,Level 1 Canteen (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.2336930583928964,103.60595745437632
569299,Teck Ghee Primary School,"Level 1 Block E, Near Classroom 2A (Available During School Operating Hours. Approach Security Officer At Main Gate.)",1.2336930583928964,103.60595745437632
569299,Teck Ghee Primary School,Level 1 Outside Student Care Centre (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.2336930583928964,103.60595745437632
547530,Bright Vision Hospital,"Level 2 Consultation Room 7, Mobile Unit",1.2560445426153721,103.87263221890224
575701,Vehicle & Transit Licensing Division,Level 1 LTA Admin Services Office,1.23201824405835,103.94469043891169
575701,Vehicle & Transit Licensing Division,Level 1 LTA SMO Clubhouse Counter,1.23201824405835,103.94469043891169
569384,Mayflower Secondary School,Level 1 General Office (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.3188132067752862,103.65405013759879
569384,Mayflower Secondary School,Level 1 Indoor Sports Hall (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.3188132067752862,103.65405013759879
569384,Mayflower Secondary School,Level 2 Indoor Sports Hall (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.3188132067752862,103.65405013759879
569384,Mayflower Secondary School,Level 1 School Field Toilet (Available During Dual Use Scheme Operating Hours),1.3188132067752862,103.65405013759879
569785,Anderson Primary School,Level 1 Canteen (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.2667016607591999,103.86207455865899
569785,Anderson Primary School,Level 1 Indoor Sports Hall (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.2667016607591999,103.86207455865899
569785,Anderson Primary School,Level 4 Indoor Sports Hall (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.2667016607591999,103.86207455865899
567739,Singapore Institute of Technology@NYP,Level 1 Beside Vending Machine,1.3098598981237255,103.88408211412825
579767,Catholic High School,Level 3 General Office (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.2984364833058695,103.73887926594489
579767,Catholic High School,Level 2 Canteen (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.2984364833058695,103.73887926594489
579767,Catholic High School,Level 3 Indoor Sports Hall (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.2984364833058695,103.73887926594489
387380,James Cook University Singapore,Level 1 Blk D (Canteen),1.2431613213287882,103.64073831684763
555855,Rosyth School,Level 1 Beside General Office (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.2345055956958904,103.85874913769513
555855,Rosyth School,Level 4 Between Multi-Purpose Hall & Tennis Court (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.2345055956958904,103.85874913769513
555855,Rosyth School,Level 3 Beside Room #F3-03 (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.2345055956958904,103.85874913769513
569730,Townsville Primary School,Level 2 School Hall (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.4655406333500078,103.78910784281275
569730,Townsville Primary School,Level 4 Indoor Sports Hall (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.4655406333500078,103.78910784281275
569730,Townsville Primary School,Level 1 Near General Office (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.4655406333500078,103.78910784281275
569730,Townsville Primary School,"Level 1 Canteen, Facing Carpark (Available During School Operating Hours. Approach Security Officer At Main Gate.)",1.4655406333500078,103.78910784281275
569730,Townsville Primary School,"Level 1 Canteen, Near Playground (Available During School Operating Hours. Approach Security Officer At Main Gate.)",1.4655406333500078,103.78910784281275
579807,Guangyang Secondary School,Level 1 Near General Office (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.3105821661199029,103.71572611380414
579807,Guangyang Secondary School,Level 3 Indoor Sports Hall (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.3105821661199029,103.71572611380414
579807,Guangyang Secondary School,Level 1 Canteen (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.3105821661199029,103.71572611380414
139648,Fairfield Methodist Primary School,"Level 4 Block E, Beside Room E405 (Available During School Operating Hours. Approach Security Officer At Main Gate.)",1.4172998171271214,103.75126715620695
139648,Fairfield Methodist Primary School,Level 2 Hall (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.4172998171271214,103.75126715620695
139648,Fairfield Methodist Primary School,Level 1 Canteen (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.4172998171271214,103.75126715620695
139648,Fairfield Methodist Primary School,Level 3 Indoor Sports Hall (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.4172998171271214,103.75126715620695
139648,Fairfield Methodist Primary School,Level 1 Outside General Office (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.4172998171271214,103.75126715620695
139649,Fairfield Methodist Secondary School,Level 1 Outside General Office (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.3237446110080922,103.74266057856173
119073,National University Hospital,"Level 1 Main Building, In Front Of Coffee Bean",1.3651833351901572,103.94142558181454
139649,Fairfield Methodist Secondary School,Level 1 Beside Foyer (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.3237446110080922,103.74266057856173
139649,Fairfield Methodist Secondary School,Level 1 Canteen (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.3237446110080922,103.74266057856173
148812,New Town Primary School,Level 1 Outside General Office (Available During School Operating Hours. Approach Security Officer At Main Gate),1.3611262011868435,103.67120226132985
148812,New Town Primary School,Level 1 Between Canteen & Basketball Court (Available During School Operating Hours. Approach Security Officer At Main Gate),1.3611262011868435,103.67120226132985
148812,New Town Primary School,Level 2 Multipurpose Hall (Available During School Operating Hours. Approach Security Officer At Main Gate),1.3611262011868435,103.67120226132985
149303,Queenstown Primary School,Level 1 Near General Office (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.2760735686858184,103.76810716581961
149303,Queenstown Primary School,Level 1 Blk H Lift Lobby (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.2760735686858184,103.76810716581961
149303,Queenstown Primary School,Level 4 Indoor Sports Hall (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.2760735686858184,103.76810716581961
159016,Alexandra Primary School,Level 1 Outside General Office (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.2788219751867291,103.65073474460154
159016,Alexandra Primary School,Level 7 Lift Lobby (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.2788219751867291,103.65073474460154
159016,Alexandra Primary School,Level 4 Outside Indoor Sports Hall (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.2788219751867291,103.65073474460154
579700,BCA Braddell Campus,Level 1 Academic Tower Lift Lobby,1.299094334087806,103.70264769870388
579700,BCA Braddell Campus,Level 6 Academic Tower Lift Lobby,1.299094334087806,103.70264769870388
579700,BCA Braddell Campus,"Level 1 Workshop Block, Next To Fire Alarm Panel",1.299094334087806,103.70264769870388
579700,BCA Braddell Campus,"Level 1 Block F, Cafeteria",1.299094334087806,103.70264769870388
579700,BCA Braddell Campus,"Level 1 Block H, Outside Reception Office",1.299094334087806,103.70264769870388
158901,Gan Eng Seng Primary School,Level 1 Canteen (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.3711228324707063,103.9575214709206
158901,Gan Eng Seng Primary School,Level 1 Basketball Court (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.3711228324707063,103.9575214709206
158901,Gan Eng Seng Primary School,Level 5 Indoor Sports Hall (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.3711228324707063,103.9575214709206
159561,Gan Eng Seng Secondary School,Level 1 Outside General Office (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.4472916156977722,103.87189235724149
159561,Gan Eng Seng Secondary School,Level 3 Outside Room A3-01 (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.4472916156977722,103.87189235724149
159561,Gan Eng Seng Secondary School,Level 1 Outside Room G01-01 (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.4472916156977722,103.87189235724149
159561,Gan Eng Seng Secondary School,Level 1 Basketball Court (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.4472916156977722,103.87189235724149
159561,Gan Eng Seng Secondary School,Level 2 Indoor Sports Hall (Available During Dual Use Scheme Operating Hours),1.4472916156977722,103.87189235724149
310195,,"Level 1 Adventist Home For the Elders, Outside Male Wing Entrance",1.2719376525541926,103.89505198652371
310480,HDB Hub,Level 1 Security Counter,1.4115322186092172,103.98216676512438
310480,HDB Hub,Level 2 Pillar Near Seating Area,1.4115322186092172,103.98216676512438
574623,Mount Alvernia Hospital,Level 5 Immanuel Dialysis Center (Mobile Unit),1.272983617578785,103.70926116738516
637088,,"Level 1 Office, Near Reception Counter",1.2892820170249575,103.99994341739406
628505,JIC Jurong Inspection Centre,Level 1 Near Chief Inspector Office,1.336179086362786,103.69515166702378
638404,Raffles Marina,Level 1 Reception Counter,1.2980081119521318,103.84087617464415
575718,VICOM Sin Ming Inspection Centre,Level 1 Inspection Lane,1.3084854777378923,103.65243842294159
659545,VICOM Bukit Batok Inspection Centre,Level 1 Road Tax & Insurance Payment Counter,1.3734131457272716,103.67608300715295
486047,ITE College East,"Level B1 Stadium, Outside Store",1.298659922601581,103.78332465189746
486047,ITE College East,"Level 1 Swimming Pool, Outside Sports Management Centre",1.298659922601581,103.78332465189746
486047,ITE College East,Level 3 Outside ISH,1.298659922601581,103.78332465189746
579783,Bishan Sports Hall,Level 1 Sports Hall,1.293881648971124,103.69674475106369
579784,Bishan Stadium,Level 1 Inside Stadium,1.3438695226632031,103.8147439053002
499613,VICOM Changi Inspection Centre,Level 1 Inspection Area,1.3140254472341188,103.90844737441839
415933,VICOM Kaki Bukit Inspection Centre,Level 1 Inspection Area,1.4339686004457712,103.79021947822525
307683,Novena Square,Level 1 Outside The Body Shop,1.3578761358336717,103.80935078006515
307683,Novena Square,Level 1 Information Counter,1.3578761358336717,103.80935078006515
169629,"Four Points by Sheraton Singapore, Riverview",Level 1 Concierge,1.3618312954825071,103.89041349722241
169664,Grand Copthorne Waterfront Hotel Singapore,Level 1 Fire Command Centre,1.4283912946161845,103.91742889072789
169075,Holiday Inn Singapore Atrium,Level 1 Fire Command Centre,1.4043049771332043,103.7869605888815
169075,Concorde Shopping Centre,Level 1 Security Counter,1.4043049771332043,103.7869605888815
169075,Concorde Shopping Centre,Level 3 Lift Lobby,1.4043049771332043,103.7869605888815
169854,College of Medicine Building,Level 2 Inside Office,1.3843516342758782,103.73748321736967
58289,Parkroyal On Pickering,Level 4 Fire Lift Lobby,1.3762084735223032,103.77698508001839
58289,Parkroyal On Pickering,Level 5 Swimming Pool Area,1.3762084735223032,103.77698508001839
319387,SAFRA Clubhouse (Toa Payoh),Level 1 Security Helpdesk,1.4211215291118928,103.69579825049237
319387,SAFRA Clubhouse (Toa Payoh),Level 1 Kids Amaze,1.4211215291118928,103.69579825049237
319387,SAFRA Clubhouse (Toa Payoh),Level 1 Gym,1.4211215291118928,103.69579825049237
319387,SAFRA Clubhouse (Toa Payoh),Level 1 Swimming Pool,1.4211215291118928,103.69579825049237
319387,SAFRA Clubhouse (Toa Payoh),Level 2 Opposite Squash Court,1.4211215291118928,103.69579825049237
319387,SAFRA Clubhouse (Toa Payoh),Level 2 Badminton Hall,1.4211215291118928,103.69579825049237
319763,,Level 5 Coffee Cove 2,1.3002526269499317,103.90938595402781
117440,Mapletree Business City,"Level 13 DSM Singapore, Pantry Area (Block 30)",1.2285841447301369,103.95926428310118
119958,Alexandra Point,Level 1 Security Office,1.3305842884715047,103.63028343190463
119967,Alexandra Technopark A,Level 1 Fire Command Centre,1.3562965031043908,103.86969495701823
119968,Alexandra Technopark B,Level 1 Fire Command Centre,1.4288493677305305,103.67159436403469
150168,Connection One,"Level 1 Tower 1, Outside Fire Command Centre",1.3301011905285947,103.86820325110732
150167,Connection One,"Level 2 Tower 5, Security Counter",1.3072908790497444,103.63092208114523
307506,Square 2,Level 1 Information Counter,1.4679402200999838,103.69826407589915
109433,Academy of Singapore Teachers,"Level 1 Blk M, Inside Sports Hall (Available During Operating Hours. Approach Security Officer At Main Gate.)",1.2463299090919477,103.65555378481979
187947,SMU Residences @ Prinsep,Level 1 Lounge,1.4676773598751551,103.70567172532604
109433,Academy of Singapore Teachers,"Level 1 Blk A, Outside Library (Available During Operating Hours. Approach Security Officer At Main Gate.)",1.2463299090919477,103.65555378481979
109433,Academy of Singapore Teachers,"Level 1 Blk P, Inside Movement Studio (Available During Operating Hours. Approach Security Officer At Main Gate.)",1.2463299090919477,103.65555378481979
100061,Blangah Garden,"Level 1 Thomas Clinic & Surgery, Inside Treatment Room",1.3527695779752424,103.77684892966279
307591,United Square,Level B1 Information Counter,1.2834880890352451,103.97637263475261
307591,United Square,Level 2 Reception Counter,1.2834880890352451,103.97637263475261
307987,Revenue House,"Level 8 Auditor-General's Office, Beside Reception Counter",1.2366913134145052,103.91784315559413
308205,National Skin Centre,"Level 1 Opp Cafeteria, Outside Female Toilet",1.2488929714928494,103.90576885894183
308205,National Skin Centre,Level 5 Outside Female Toilet,1.2488929714928494,103.90576885894183
308205,National Skin Centre,Level 4 Outside Female Toilet,1.2488929714928494,103.90576885894183
308205,National Skin Centre,Level 3 Outside Clinic A & B,1.2488929714928494,103.90576885894183
308205,National Skin Centre,Level 2 Outside Clinic F & G,1.2488929714928494,103.90576885894183
308205,National Skin Centre,Level B1 Outside MMD,1.2488929714928494,103.90576885894183
59573,Holiday Inn Express Singapore Clarke Quay,Roof Level (8) Gym/Fitness Center,1.3772575930466184,103.77188752499873
139651,Singapore Polytechnic,"Level 1 Inside Guard House Gate 1, Along Dover Road",1.3127457589746734,103.80848531202977
139651,Singapore Polytechnic,"Level 4 Block T3A, Inside School Of Architecture & The Build Environment Office",1.3127457589746734,103.80848531202977
139651,Singapore Polytechnic,"Level 1 Block T1A, Outside Pace Academy Office Entrance",1.3127457589746734,103.80848531202977
139651,Singapore Polytechnic,Level 2 Outside Main Library Entrance,1.3127457589746734,103.80848531202977
139651,Singapore Polytechnic,Level 1 Outside InnoVillage Office Entrance,1.3127457589746734,103.80848531202977
139651,Singapore Polytechnic,"Level 3 Block T11A, School Of Chemical & Life Sciences Lift Lobby",1.3127457589746734,103.80848531202977
139651,Singapore Polytechnic,"Level 1 Block T11B, School Of Chemical & Life Sciences, Beside Fire Command Center",1.3127457589746734,103.80848531202977
139651,Singapore Polytechnic,"Level 1 Block W3, Outside Pharmaceutical Technology Centre (W315)",1.3127457589746734,103.80848531202977
139651,Singapore Polytechnic,"Level 1 Block W2, Between Workplace, Safety & Health Centre & Steam Simulation Centre",1.3127457589746734,103.80848531202977
139651,Singapore Polytechnic,Level 2 Outside Department Of Student Development Office,1.3127457589746734,103.80848531202977
139651,Singapore Polytechnic,"Level 1 Block T12, School Of Electrical & Electronic Engineering Entrance, Near LT 12B",1.3127457589746734,103.80848531202977
139651,Singapore Polytechnic,"Level 1 Block T16, Outside One Stop Centre",1.3127457589746734,103.80848531202977
139651,Singapore Polytechnic,Level 1 SP Convention Centre Main Lobby,1.3127457589746734,103.80848531202977
139651,Singapore Polytechnic,"Level 1 Block W12, Outside Engineering Workshop (W1218)",1.3127457589746734,103.80848531202977
139651,Singapore Polytechnic,"Level 4 Block T19, Outside Media, Arts & Design General Office (T1941)",1.3127457589746734,103.80848531202977
139651,Singapore Polytechnic,"Level 2 Block T19, Outside School Of Life Skills & Communication Office",1.3127457589746734,103.80848531202977
139651,Singapore Polytechnic,Level 1 Outside Gym@The Pool Entrance,1.3127457589746734,103.80848531202977
139651,Singapore Polytechnic,"Level 1 Block W5A, Inside Operation Control Center Office (W5A15)",1.3127457589746734,103.80848531202977
139651,Singapore Polytechnic,"Level 1 Admin Building, Outside Department Of Communication Office",1.3127457589746734,103.80848531202977
139651,Singapore Polytechnic,"Level 1 Block T11A, School Of Chemical & Life Sciences, Outside Food Lab",1.3127457589746734,103.80848531202977
139651,Singapore Polytechnic,"Level 1 Block T11, Moberly Entrance",1.3127457589746734,103.80848531202977
139651,Singapore Polytechnic,"Level 2 Polycentre, Inside Badminton Hall",1.3127457589746734,103.80848531202977
139651,Singapore Polytechnic,"Level 5 School Of Business, Opposite Media Classroom (T18B523)",1.3127457589746734,103.80848531202977
117438,Mapletree Business City,"Level 2 Block 20 West, Main Lobby",1.2824406510850401,103.74321954508572
117438,Mapletree Business City,"Level 1 Block 20, Inside Fire Command Centre",1.2824406510850401,103.74321954508572
117438,Mapletree Business City,"Level 2 Block 20 East, Main Lobby",1.2824406510850401,103.74321954508572
117438,Mapletree Business City,"Level 2 Block 10, Main Lobby",1.2824406510850401,103.74321954508572
117438,Mapletree Business City,"Level 1 Town Hall, Multi-Purpose Hall",1.2824406510850401,103.74321954508572
117438,Mapletree Business City,"Level 2 Block 30, Main Lobby",1.2824406510850401,103.74321954508572
127368,Kent Ridge Secondary School,Level 1 Outside General Office (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.4504077324729892,103.73802494492841
127368,Kent Ridge Secondary School,Level 3 Outside Multipurpose Hall (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.4504077324729892,103.73802494492841
127368,Kent Ridge Secondary School,Level 1 School Field Toilet (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.4504077324729892,103.73802494492841
127368,Kent Ridge Secondary School,Level 1 Indoor Sports Hall (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.4504077324729892,103.73802494492841
127368,Kent Ridge Secondary School,Level 2 Indoor Sports Hall (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.4504077324729892,103.73802494492841
118505,MOE Labrador Adventure Learning Centre,Level 1 Beside Outdoor Education Centre (Near Staircase Corridor),1.326331625646416,103.8428477120049
118505,MOE Labrador Adventure Learning Centre,Level 1 Inside Operations Room,1.326331625646416,103.8428477120049
599493,Singapore Institute of Technology@NP,"Level 2 Opposite Student Lounge, Near Lift Lobby",1.4662403897602938,103.78130737075385
139660,Singapore Institute of Technology@SP,Level 1 Lift Lobby,1.3405598641649163,103.99941969393736
138683,,Level 1 University Tower Lobby,1.2704759123974245,103.85971132667824
138683,,Level 5 University Tower Lobby,1.2704759123974245,103.85971132667824
138633,Symbiosis,"Level 10 Autodesk Asia, Beside Office Entrance",1.2238467282079684,103.69957597892086
138633,Symbiosis,"Level 8 Autodesk Asia, Beside Office Entrance",1.2238467282079684,103.69957597892086
138633,Symbiosis,"Level 7 Autodesk Asia, Beside Office Entrance",1.2238467282079684,103.69957597892086
318990,Beatty Secondary School,"Level 1 Blk A, Beside General Office (Available During School Operating Hours. Approach Security Officer At Main Gate.)",1.4350570415326203,103.8753303298481
318990,Beatty Secondary School,"Level 1 Blk I, Near Staircase (Available During School Operating Hours. Approach Security Officer At Main Gate.)",1.4350570415326203,103.8753303298481
318990,Beatty Secondary School,Level 1 School Field Toilet (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.4350570415326203,103.8753303298481
318990,Beatty Secondary School,"Level 2 Blk J, Sports Hall (Available During School Operating Hours. Approach Security Officer At Main Gate.)",1.4350570415326203,103.8753303298481
